site_name,ks,ki,Rsquared_ks,Rsquared_ki,RMSE_ks,RMSE_ki
A,-0.00405984927285894,-0.00563376128649796,-1,-0.656507677793894,0.500170878282454,0.331968301975617
B,-0.00369175987140096,-0.00534441877183498,-1,-0.785714285714286,0.368387076140488,0.194498029186643
C,-0.00440228602985511,-0.00697663895958369,-0.666666666666667,-0.555555555555556,0.334070495908207,0.462732449681176
D,-0.0047240553669835,0.000895395740371078,-0.619047619047619,-1,0.433126119374396,0.459743384032203
E,NaN,-0.00604250941283366,NaN,-0.666666666666667,NaN,0.522392784914164
F,-0.00372937055915175,-0.00465902295606889,-1,-0.733333333333333,0.346035807122998,0.287587268455286
G,-0.003931850652504,-0.00539679089645187,-0.333333333333333,-0.466666666666667,0.372245170903157,0.647384019422969
Z,-0.0036762212835458,NaN,-0.6,NaN,0.481682946892423,NaN
All_Sites,-0.00409269584488945,-0.00560590726839053,-0.489230769230769,-0.615680686903012,0.452685836825829,0.443352480430288
