Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1988,C,6/10/1988,9/18/1988,1304,3.39,2.6,0,0.07
1989,A,2/16/1989,10/3/1989,600,NaN,-6.64,NaN,0
1989,B,6/17/1989,10/3/1989,1078,0.86,-2.22,NaN,0
1989,C,6/17/1989,10/8/1989,1304,2.33,0.13,0,0.21
1990,A,3/17/1990,9/10/1990,599,0.7,-5.76,-0.13,0
1990,B,3/17/1990,9/11/1990,1078,1.24,-3.07,-0.03,0
1990,C,3/17/1990,9/11/1990,1304,1.63,-0.73,0,0
1991,A,5/13/1991,9/18/1991,599,0.8,-3.19,-0.42,0
1991,B,5/13/1991,9/12/1991,1078,1.33,-1.27,-0.05,0
1991,C,5/13/1991,1/25/1992,1304,2.9,1.03,-0.12,2.14
1992,A,5/13/1992,9/6/1992,598,0.95,-2.86,-0.01,0
1992,B,5/13/1992,9/3/1992,1077,1.76,-1.08,-0.07,0
1992,C,5/13/1992,9/7/1992,1304,2.79,1.34,0,0.03
1993,A,5/16/1993,9/13/1993,597,0.95,-3.75,NaN,0
1993,B,5/15/1993,9/10/1993,1077,2.05,-1.39,-0.11,0
1993,C,5/15/1993,9/13/1993,1304,3.32,0.76,0,0
1994,A,5/16/1994,9/9/1994,597,0.8,-5.1,-0.18,0
1994,B,5/13/1994,9/10/1994,1077,1.6,-1.19,-0.17,0
1994,C,5/13/1994,9/10/1994,1304,2.98,1.35,-0.05,0
1995,A,5/11/1995,9/14/1995,596,0.97,-3.78,-0.5,0
1995,B,5/14/1995,9/15/1995,1077,2.3,-0.89,-0.17,0
1995,C,5/14/1995,9/14/1995,1303,3.18,1.4,0,0
1996,A,1/12/1996,9/20/1996,593,0.33,-5.36,-0.89,0
1996,B,5/29/1996,9/21/1996,1076,1.09,-1.9,-0.45,0.01
1996,C,5/30/1996,9/20/1996,1304,1.76,0.01,-0.31,0
1997,A,5/19/1997,8/29/1997,589,0.66,-5.04,-0.08,0
1997,B,5/20/1997,8/27/1997,1076,1.52,-1.86,0,0
1997,C,5/19/1997,8/27/1997,1305,2.71,-0.04,-0.13,0
1998,A,5/29/1998,9/24/1998,586,1.67,-2.08,-1.3,0
1998,B,5/25/1998,9/24/1998,1075,2.72,-0.14,-0.78,0
1998,C,5/26/1998,9/24/1998,1306,3.65,2.32,-0.29,0
1999,A,5/17/1999,9/24/1999,584,0.98,-5.34,-0.1,0
1999,B,5/13/1999,9/24/1999,1075,1.76,-1.61,NaN,0
1999,C,5/14/1999,9/24/1999,1305,2.58,0.79,NaN,0.44
2000,A,5/12/2000,9/22/2000,583,1.72,-3.5,-0.13,0
2000,B,5/10/2000,9/19/2000,1075,2.22,-0.55,-0.05,0
2000,C,5/11/2000,9/22/2000,1304,2.8,2.32,0,0.3
2001,A,5/18/2001,10/1/2001,581,3.06,-3.09,-0.11,0
2001,B,5/16/2001,9/25/2001,1074,3.16,-0.17,NaN,0.05
2001,C,5/17/2001,10/1/2001,1304,4.06,1.96,0,NaN
2002,A,5/17/2002,10/2/2002,580,1.04,-4.92,NaN,0
2002,B,5/14/2002,10/3/2002,1074,2.02,-1.74,0,0
2002,C,5/16/2002,10/2/2002,1303,3.23,1.14,NaN,0.07
2003,A,5/28/2003,9/11/2003,574,0.53,-5.81,-0.53,0
2003,B,5/30/2003,9/11/2003,1073,1.57,-1.72,NaN,0
2003,C,5/29/2003,9/14/2003,1302,2.7,1.97,0,0
2004,LA,5/11/2004,9/14/2004,453,0.6,-7.12,NaN,0
2004,A,5/11/2004,9/14/2004,568,1.04,-6.41,-0.57,0
2004,B,5/12/2004,9/14/2004,1071,1.66,-2.91,-0.39,0
2004,C,5/12/2004,9/14/2004,1301,2.66,-0.51,NaN,0
2005,LA,5/11/2005,9/30/2005,448,0.22,NaN,-0.23,0
2005,A,5/11/2005,9/24/2005,562,0.79,-7.27,-0.33,0
2005,B,5/14/2005,9/21/2005,1070,1.82,-2.66,-0.77,0
2005,C,5/14/2005,9/21/2005,1301,2.5,0.24,NaN,NaN
2006,A,5/11/2006,9/24/2006,557,1.41,-4.69,-0.05,0
2006,B,5/13/2006,9/23/2006,1068,2.41,-1.12,-0.36,0
2006,C,5/14/2006,9/24/2006,1300,3.54,0.7,0,0
2007,A,5/11/2007,9/17/2007,551,0.73,-5.64,-0.5,0
2007,B,5/10/2007,9/17/2007,1066,1.66,-1.69,-0.07,0
2007,C,5/10/2007,9/17/2007,1299,2.62,0.91,NaN,0
2008,A,5/17/2008,9/28/2008,545,2.28,-2.86,-0.4,0
2008,B,5/18/2008,9/28/2008,1065,2.58,-0.04,NaN,0.09
2008,C,5/18/2008,9/28/2008,1299,4.63,2.51,NaN,0.11
2009,A,4/28/2009,9/19/2009,541,0.84,NaN,NaN,0
2009,B,4/27/2009,9/21/2009,1066,1.22,-3.06,0,0
2009,C,4/28/2009,9/19/2009,1298,1.9,-0.41,NaN,0
2009,Y,4/29/2009,9/19/2009,1372,NaN,0.75,NaN,0
2010,AU,5/6/2010,9/14/2010,638,0.68,-4.14,-0.41,0
2010,B,5/4/2010,9/14/2010,1067,2.21,-0.48,NaN,0
2010,C,5/5/2010,9/13/2010,1298,3.1,1.78,NaN,0
2011,AU,4/28/2011,9/21/2011,637,0.58,-5.76,-0.86,0
2011,B,4/28/2011,9/22/2011,1068,1.16,-2.17,-0.16,0
2011,C,4/27/2011,9/22/2011,1297,2.1,0,0,0.85
2011,Y,4/27/2011,9/23/2011,1373,2.74,0.96,0,0.96
2012,AU,4/25/2012,9/15/2012,632,1.17,-3.81,-0.31,0
2012,P,4/26/2012,9/14/2012,995,1.66,-0.87,-0.18,0
2012,B,4/23/2012,9/13/2012,1067,1.82,-0.18,-0.04,0
2012,C,4/24/2012,9/30/2012,1296,3.1,2.74,0,0.37
2012,Y,4/24/2012,9/29/2012,1372,4.29,3.72,0,0.54
2013,AU,5/8/2013,8/28/2013,628,0.67,-5.25,-0.68,0
2013,P,5/10/2013,11/6/2013,993,0.92,-3.8,-0.03,0
2013,N,5/8/2013,8/28/2013,1006,0.93,-3.07,0,0
2013,B,5/5/2013,8/28/2013,1065,1.34,-2.41,0,0
2013,S,5/5/2013,8/28/2013,1237,2.31,-1.06,0,0
2013,C,5/6/2013,8/27/2013,1296,2.76,0.21,0,0
2013,T,5/9/2013,8/27/2013,1371,2.53,0.15,0,0
2013,Y,5/6/2013,8/27/2013,1372,3.37,1.19,0,0
2014,AU,4/23/2014,9/5/2014,623,0.2,-7.52,-1.34,0
2014,N,4/23/2014,9/5/2014,1005,0.94,-2.5,-1.23,0
2014,B,4/24/2014,9/5/2014,1064,1.05,-2.25,-0.47,0
2014,S,4/23/2014,9/5/2014,1236,1.72,-1.07,-0.26,0
2014,C,4/22/2014,9/3/2014,1295,2.16,0.19,-0.05,0
2014,T,4/23/2014,9/3/2014,1371,2,0.39,-0.2,0
2014,Y,4/23/2014,9/3/2014,1371,2.52,1.01,-0.2,0
2015,AU,4/25/2015,9/2/2015,619,0.34,-6.77,-0.92,0
2015,N,4/24/2015,9/2/2015,1004,1.6,-1.75,-0.76,0
2015,B,4/24/2015,9/1/2015,1063,1.66,-1.41,-0.64,0
2015,S,4/24/2015,9/1/2015,1235,2.46,-0.58,-0.19,0
2015,C,4/23/2015,9/1/2015,1295,2.84,0.84,-0.17,0
2015,T,4/23/2015,9/1/2015,1370,3.02,0.88,-0.14,0
2015,Y,4/23/2015,9/1/2015,1370,3.06,1.58,-0.18,0
2016,AU,5/7/2016,9/11/2016,615,0.84,-6.12,-1.02,0
2016,N,5/15/2016,9/9/2016,1003,2.08,-1.87,-0.45,0
2016,B,5/15/2016,9/9/2016,1062,2.56,-1.17,-0.21,0
2016,S,5/15/2016,9/13/2016,1234,4.05,0.31,-0.15,0
2016,C,5/12/2016,9/8/2016,1294,4.61,1.66,-0.07,0
2016,T,5/9/2016,9/1/2016,1369,4.83,2.1,0,0
2016,Y,5/7/2016,9/8/2016,1369,5.29,2.78,0,0
2017,AU,4/29/2017,9/10/2017,613,0.02,-5.86,NaN,0
2017,N,4/27/2017,9/8/2017,1003,1.11,-3.2,-0.4,0
2017,B,4/26/2017,9/8/2017,1060,1.32,-1.69,-0.34,0
2017,S,4/27/2017,9/8/2017,1236,2.07,-0.22,NaN,0
2017,C,4/27/2017,9/9/2017,1294,2,0.5,0,0
2017,T,4/28/2017,9/11/2017,1370,2.09,0.54,NaN,0
2017,Y,4/27/2017,9/11/2017,1370,2.57,1.18,0,0
2018,AU,5/6/2018,9/7/2018,619,0.23,-5.93,-0.91,0
2018,N,5/1/2017,9/7/2018,1004,1.29,-2.23,-0.38,0
2018,B,5/1/2018,9/7/2018,1063,1.46,-1.49,0,0
2018,S,5/5/2018,9/7/2018,1235,2.23,-0.94,-0.03,0
2018,C,5/1/2018,9/6/2018,1295,1.98,0.3,-0.17,0
2018,T,5/1/2018,9/8/2016,1370,2.15,0.22,0,0
2018,Y,5/2/2018,9/6/2018,1370,2.39,0.82,0,0
2019,AU,5/23/2019,9/9/2019,619,0,-8.81,-1.85,0
2019,N,5/21/2019,9/7/2019,1004,1.338260422,-2.99,-0.62,0
2019,B,5/21/2019,9/19/2019,1063,1.638674898,-2.65,-0.65,0
2019,S,5/21/2019,9/7/2019,1235,3.471790176,-0.17,NaN,0
2019,C,5/22/2019,9/19/2019,1295,3.31,0.22,NaN,0
2019,T,5/22/2019,9/19/2019,1370,3.35,0.82,NaN,0
2019,Y,5/22/2019,9/19/2019,1370,4,0.9,NaN,0
2020,AU,5/2/2020,9/10/2020,619,0.01,-7.29,-0.89,0
2020,N,5/9/2020,9/10/2020,1004,1.28,-2.73,-0.23,0
2020,B,5/9/2020,9/10/2020,1063,1.47,-2.37,-0.28,0
2020,S,5/12/2020,9/10/2020,1235,2.01,-1.11,-0.19,0
2020,C,5/10/2020,9/5/2020,1295,2.14,0.03,NaN,0
2020,TU,5/10/2020,9/5/2020,1370,1.94,-0.01,0,0
2020,Y,5/10/2020,9/5/2020,1370,2.45,0.45,0,0
2021,AU,4/22/2021,8/27/2021,587,0.27,-6.21,-0.89,0.00
2021,N,4/21/2021,8/27/2021,997,1.26,-2.03,-0.23,0.00
2021,B,4/21/2021,8/27/2021,1056,1.31,-1.58,-0.30,0.00
2021,S,4/21/2021,9/7/2021,1222,2.48,-0.09,NaN,0.00
2021,C,4/18/2021,9/7/2021,1295,2.18,0.67,0.00,0.00
2021,EC,4/18/2021,8/29/2021,1348,2.85,2.20,0.00,0.00
2021,TU,4/21/2021,8/30/2021,1370,2.15,0.63,-0.15,0.00
2021,Y,4/18/2021,8/30/2021,1369,2.68,1.65,0.00,0.00
