Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2002,C,1303,3.28,-2.13,1.15,20-Apr-2002,13-Sep-2002,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,A,574,-0.19,-7.16,-7.35,23-Apr-2003,06-Oct-2003,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,B,1073,1.57,-3.96,-2.39,23-Apr-2003,06-Oct-2003,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,C,1302,2.83,-0.9,1.93,23-Apr-2003,06-Oct-2003,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,LA,453,0.4,-7.66,-7.26,27-Apr-2004,19-Sep-2004,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,A,568,0.93,-7.6,-6.67,27-Apr-2004,19-Sep-2004,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,B,1071,1.91,-5.52,-3.61,27-Apr-2004,19-Sep-2004,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,C,1301,2.85,-3.37,-0.51,27-Apr-2004,19-Sep-2004,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,LA,448,0.2,-8.03,-7.84,15-Apr-2005,26-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,A,562,0.84,-8.4,-7.56,15-Apr-2005,26-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,B,1070,2.14,-5.24,-3.1,15-Apr-2005,26-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,C,1301,2.69,-2.45,0.24,15-Apr-2005,26-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,A,557,0.94,-5.81,-4.87,18-May-2006,20-Sep-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,B,1068,2.41,-3.5,-1.08,18-May-2006,20-Sep-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,C,1300,3.55,-2.85,0.71,18-May-2006,20-Sep-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,A,551,0.08,-6.82,-6.74,06-May-2007,22-Oct-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,B,1066,1.55,-3.51,-1.96,06-May-2007,22-Oct-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,C,1299,2.61,-1.74,0.87,06-May-2007,22-Oct-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,A,545,2.27,-4.91,-2.64,17-May-2008,17-Sep-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,B,1065,2.58,-2.6,-0.02,17-May-2008,17-Sep-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,C,1299,4.62,-2.12,2.5,17-May-2008,17-Sep-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,A,541,0.46,-7.97,-7.51,28-Apr-2009,18-Oct-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
