Year,IndexBestFit,LinearProfileBestFit,PiecewiseProfileBestFit,IndexPiecewise,LinearProfilePiecewise,PiecewiseProfilePiecewise,IndexBreakPoints,LinearProfileBreakPoints,PiecewiseProfileBreakPoints
1965,0,0,0,0,0,0,0,0,0
1966,-0.757789113044301,-0.710707706492201,-0.947271372532106,-0.517295311108747,-0.47069426592319,-0.579048395446326,-0.604862622924907,-0.503294392532201,-0.631582025900692
1967,-1.23010573754486,-1.29107364263045,-1.29216070369489,-0.989611935609306,-1.05106020206144,-0.923937726609107,-1.07717924742547,-1.08366032867045,-0.976471357063473
1968,-1.11201666717057,-1.11703846032282,-1.18051770390217,-0.871522865235013,-0.877025019753808,-0.812294726816394,-0.959090177051173,-0.909625146362818,-0.864828357270761
1969,-0.115447686247945,-0.273804193060185,-0.19536621390422,0.125046115687609,-0.0337907524911739,0.17285676318156,0.0374788038714493,-0.0663908791001847,0.120323132727194
1970,1.46359482862124,1.50553858575444,1.39303183237534,1.70408863055679,1.74555202632345,1.76125480946112,1.61652131874063,1.71295189971444,1.70872117900675
1971,0.1119909192139,0.0680150812659298,-0.0569149111766122,0.352484721149454,0.308028521834941,0.311308065909168,0.264917409333294,0.27542839522593,0.258774435454802
1972,-1.1920671536418,-1.2085939887274,-1.40578585245607,-0.951573351706243,-0.96858054815839,-1.03756287537029,-1.0391406635224,-1.0011806747674,-1.09009650582465
1973,0.266179527440935,0.282985828024751,0.0717108074808087,0.253159986464653,0.266676630822576,0.121815123568631,0.419106017560329,0.490399141984751,0.387400154112223
1974,-1.47285766144853,-1.4226696967325,-1.57980740931661,-1.48587720242481,-1.43897889393468,-1.52970309322878,-1.31993117132913,-1.2152563827725,-1.26411806268519
1975,-0.341740136292133,-0.331503412529406,-0.489196586337778,-0.354759677268415,-0.347812609731581,-0.439092270249956,-0.188813646172739,-0.124090098569406,-0.173507239706364
1976,-1.02446781005639,-1.01846118837574,-1.14408730470339,-1.03748735103267,-1.03477038557791,-1.09398298861557,-0.871541319936999,-0.811047874415739,-0.82839795807198
1977,1.4348230582138,1.43094870985773,1.61535025121968,1.42180351723752,1.41463951265555,1.6654545673075,1.58774954833319,1.63836202381773,1.9310395978511
1978,0.417654449830956,0.425108429851806,0.43460307819116,0.404634908854675,0.40879923264963,0.484707394278982,0.57058093995035,0.632521743811805,0.750292424822574
1979,-1.48845464085466,-1.51224428968141,-1.45930304914863,-1.50147418183094,-1.52855348688359,-1.4091987330608,-1.33552815073527,-1.30483097572141,-1.14361370251721
1980,2.37610806824754,2.33597719918481,2.58402752769212,2.27074744698038,2.23357909650552,2.44668065670378,2.30245181168083,2.25045479696617,2.4532497546899
1981,3.22522562053746,3.17986837370621,3.68538594432368,3.1198649992703,3.07747027102693,3.54803907333534,3.15156936397075,3.09434597148757,3.55460817132146
1982,-0.273603843150922,-0.21321321600072,-0.263472615983911,-0.378964464418076,-0.315611318680006,-0.400819486972248,-0.347260099717633,-0.298735618219356,-0.394250388986128
1983,-0.392152735589149,-0.399266769974195,-0.470753986360194,-0.497513356856302,-0.501664872653481,-0.608100857348531,-0.465808992155859,-0.484789172192832,-0.601531759362412
1984,-0.370340011877784,-0.311855374003591,-0.360602375220703,-0.475700633144937,-0.414253476682877,-0.49794924620904,-0.443996268444495,-0.397377776222228,-0.491380148222921
1985,0.380856984328085,0.361610375637599,0.281735814918309,0.275496363060931,0.259212272958313,0.144388943929972,0.307200727761374,0.276087973418962,0.150958041916092
1986,-0.169342763979063,-0.107624975355352,-0.309038668936728,-0.274703385246217,-0.210023078034638,-0.446385539925065,-0.242999020545774,-0.193147377573989,-0.439816441938946
1987,1.38079126321898,1.40925745447438,1.42082321673429,1.27543064195183,1.30685935179509,1.28347634574595,1.30713500665227,1.32373505225574,1.29004544373207
1988,1.11520970141609,1.11249240989009,1.06173241793192,1.00984908014894,1.0100943072108,0.924385546943585,1.04155344484938,1.02697000767145,0.930954644929705
1989,-1.57231560794751,-1.45340207506106,-1.5722476704314,-1.67767622921466,-1.55580017774034,-1.70959454141974,-1.64597186451422,-1.5389244772797,-1.70302544343362
1990,-2.35957029594761,-2.40161192994041,-2.40473803880522,-2.46493091721476,-2.5040100326197,-2.54208490979355,-2.43322655251432,-2.48713433215905,-2.53551581180743
1991,-0.463676796744287,-0.600633495186845,-0.435287084452272,-0.569037418011441,-0.703031597866131,-0.572633955440609,-0.537333053310998,-0.686155897405482,-0.566064857454489
1992,-0.231435398722358,-0.327966171362672,-0.192460318518188,-0.336796019989511,-0.430364274041958,-0.329807189506525,-0.305091655289069,-0.413488573581309,-0.323238091520406
1993,-0.722687583064611,-0.834355337369,-0.743654828894983,-0.828048204331764,-0.936753440048286,-0.88100169988332,-0.796343839631321,-0.919877739587637,-0.874432601897201
1994,-0.442877959522547,-0.369817042874085,-0.406280932812862,-0.5482385807897,-0.472215145553371,-0.543627803801199,-0.516534216089258,-0.455339445092722,-0.53705870581508
1995,-0.534418700927864,-0.53108978289657,-0.52761846537047,-0.639779322195017,-0.633487885575857,-0.664965336358807,-0.608074957494575,-0.616612185115207,-0.658396238372688
1996,-1.49232337962244,-1.45538871423961,-1.63490351932129,-1.40664404437093,-1.34394768902055,-1.56097521515852,-1.56597963618915,-1.54091111645825,-1.76568129232351
1997,-1.90172577387606,-1.88972839263962,-1.94340164547003,-1.81604643862456,-1.77828736742056,-1.86947334130727,-1.97538203044277,-1.97525079485826,-2.07417941847225
