Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source
1993,3.05,-2.91431066286323,0.135689337136771,1229.72811059908,04/20/1993,09/19/1993,2.25        5.24,NaN,4.19        9.56,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1994,2.63,-2.18141345681896,0.448586543181043,1192.56363636364,05/24/1994,09/16/1994,3.31        6.87,NaN,9.06        12.11,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1995,2.94,-2.61740975884478,0.322590241155218,1204.06827309237,04/26/1995,09/27/1995,3.58        3.58,NaN,7.3        11.02,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1996,1.75,-2.52760951251476,-0.77760951251476,1319.72413793103,04/27/1996,09/15/1996,3.02        2.37,NaN,7.72        7.63,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1997,2.4,-3.4796107947511,-1.0796107947511,1335.08050847458,04/26/1997,10/01/1997,1.7         4.8,NaN,7.66        10.31,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1998,3.39,-1.69050738603354,1.69949261396646,1082.30908698468,05/20/1998,10/07/1998,2.19        3.94,NaN,3.93           11,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1999,2.35,-2.34101510066023,0.00898489933977063,1230.96566523605,05/11/1999,09/17/1999,1.71        3.43,NaN,7.33        10.13,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2000,2.63,-1.13073921928188,1.49926078071812,1130.57441796871,04/27/2000,09/29/2000,1.54        2.71,NaN,6.32        13.58,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2001,3.88,-2.55343417178814,1.32656582821186,1087.11533482851,05/11/2001,09/22/2001,0.53        3.83,NaN,6.04        9.26,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2002,2.98,-2.52810888919631,0.45189111080369,1202.09961685824,04/20/2002,09/13/2002,2.21        5.15,NaN,5.91         11.4,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2003,2.48,-1.68628639296054,0.79371360703946,1199.45475638051,04/23/2003,10/06/2003,3.39        5.41,NaN,9.9        18.82,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2004,2.54,-3.99231933168172,-1.45231933168172,1349.30523602243,04/27/2004,09/19/2004,1.8        3.28,NaN,1.48        12.37,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2005,2.47,-3.26187505127766,-0.791875051277661,1286.72428308965,04/15/2005,09/26/2005,3.88        1.88,NaN,4.36        13.94,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2006,3.25,-3.12549056083974,0.124509439160258,1208.48888888889,05/18/2006,09/20/2006,2.84        4.91,NaN,7.42        7.76,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2007,2.34,-2.27009867889402,0.0699013211059795,1227.1170212766,05/04/2007,10/22/2007,2.78        4.46,NaN,9.22         12.1,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
