Date,Mass_Change_mwe,Uncertainty,Source,Mass_Minimum_Date,Number_of_Days,Mass_Difference
08/25/1969,-17.17,2.856,DEM,09/26/1969,32,-0.38
09/13/1972,-17.94,2.244,DEM,09/25/1972,12,-0.02
08/03/1979,-17.09,3.434,DEM,09/23/1979,51,-1.7
09/27/1995,-14.88,1.717,DEM,09/27/1995,0,0
08/08/2006,-8.67,2.142,DEM,09/20/2006,43,-0.73
09/10/2016,-2.38,0.238,DEM,10/15/2016,35,-0.22
09/12/2018,-0,0,DEM,10/02/2018,20,-0.37
