month,intercept1,slope1,rsquared1,intercept2,slope2,rsquared2
1,-4.05007738070895,0.512069326079669,0.687765033125615,-0.951799199989191,0.568835037754633,0.604163457383969
2,-3.62156414835403,0.456436009454528,0.551598784914218,-1.52507672840302,0.639495072692039,0.659230161222253
3,-3.9530406604376,0.499545741010191,0.565540330405223,-1.99447535264603,0.66619335322933,0.668771858121109
4,-2.88021906020773,0.540587447868879,0.506982498123876,-1.23213205014548,0.729778946707327,0.712755804070375
5,-0.790278989095031,0.700588310171349,0.443299321372615,-1.48389897156373,0.787902413345328,0.672553634106531
6,-0.186531520939451,0.614273173724814,0.383804089900278,-3.36847228076673,0.934584920320892,0.762613989807548
7,1.24736077131671,0.525809645161883,0.260384012600555,-3.95080380804854,0.972143862172042,0.699060510841833
8,-0.706614770788445,0.660077983531607,0.527283716406919,-3.05890697675758,0.931665515596058,0.755869906434382
9,-1.36030505416251,0.672944492968404,0.607767004458895,-2.25327405232121,0.85481709344558,0.802393450001426
10,-1.70658481828907,0.591025311760058,0.629189894178723,-1.92586991443222,0.676662748689939,0.756329106553546
11,-3.00278185089598,0.547546023122111,0.609986490063906,-2.18157239740857,0.494949847083894,0.498905803224937
12,-3.73620915377473,0.507931183870925,0.572873751715431,-2.55755974906385,0.463270264333732,0.499633613799946
