NaN,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450
2003,0.00013002,0.27264,0.75327,1.1669,1.0154,1.5203,1.8419,2.6595,2.9279,2.128,1.4386,1.0289,0.28802,0.022036
2004,6.5012e-05,0.26776,0.75421,1.1619,1.002,1.5032,1.835,2.6456,2.9091,2.1151,1.4379,1.0284,0.29119,0.021849
2005,0,0.26288,0.75515,1.1569,0.98867,1.4862,1.8282,2.6317,2.8903,2.1022,1.4372,1.0279,0.29436,0.021662
2006,0,0.29553,0.75411,1.1508,0.98915,1.4716,1.8215,2.5887,2.9053,2.1069,1.4493,1.0181,0.30966,0.018942
2007,0,0.32818,0.75306,1.1446,0.98963,1.457,1.8148,2.5457,2.9203,2.1115,1.4614,1.0083,0.32496,0.016223
2008,0,0.3306,0.73965,1.1279,0.9853,1.4447,1.8101,2.5376,2.9099,2.1115,1.4623,1.0034,0.32823,0.018512
2009,0,0.33302,0.72623,1.1113,0.98097,1.4325,1.8055,2.5295,2.8995,2.1116,1.4633,0.99854,0.3315,0.020802
2010,0,0.33544,0.71281,1.0946,0.97664,1.4202,1.8008,2.5214,2.8892,2.1116,1.4643,0.99365,0.33477,0.023092
2011,0,0.33786,0.6994,1.0779,0.97231,1.408,1.7961,2.5134,2.8788,2.1116,1.4652,0.98877,0.33804,0.025381
2012,0,0.34028,0.68598,1.0612,0.96798,1.3957,1.7914,2.5053,2.8684,2.1116,1.4662,0.98388,0.34131,0.027671
2013,0,0.3427,0.67257,1.0446,0.96365,1.3835,1.7868,2.4972,2.858,2.1117,1.4671,0.97899,0.34458,0.02996
2014,0,0.34512,0.65915,1.0279,0.95932,1.3712,1.7821,2.4891,2.8476,2.1117,1.4681,0.9741,0.34785,0.03225
2015,0,0.30909,0.63771,0.94901,0.95831,1.3633,1.7774,2.4507,2.8407,2.1115,1.4615,0.98243,0.33142,0.029865
2016,0,0.27305,0.61626,0.87011,0.9573,1.3554,1.7728,2.4124,2.8337,2.1112,1.455,0.99076,0.31499,0.02748
2017,0,0.23702,0.59482,0.79122,0.95629,1.3475,1.7681,2.374,2.8268,2.111,1.4484,0.99909,0.29856,0.025095
2018,0,0.20098,0.57338,0.71232,0.95527,1.3396,1.7634,2.3356,2.8199,2.1108,1.4419,1.0074,0.28213,0.02271
2019,0,0.16494,0.55193,0.63343,0.95426,1.3317,1.7587,2.2972,2.8129,2.1106,1.4353,1.0157,0.2657,0.020325
2020,0,0.12891,0.53049,0.55454,0.95325,1.3237,1.7541,2.2588,2.806,2.1103,1.4288,1.0241,0.24926,0.01794
