Date,dh_m,Uncertainty,Source 
8/31/1967,-31.3,3.29,DEM
9/4/1974,-27.8,2.93,DEM
8/25/1979,-22.6,2.19,DEM
7/11/1993,-19.9,2.96,DEM
8/8/2005,-8.1,1.51,DEM
8/11/2007,-6.9,0.7,DEM
8/30/2016,0,0,DEM
