Date,Mass_Change_mwe,Uncertainty,Source,Mass_Minimum_Date,Number_of_Days,Mass_Difference
08/13/1948,17.38,15.2436714265,DEM,09/15/1948,33,-0.31
09/28/1999,-5.18,2.1508248496,DEM,09/28/1999,0,0
09/04/2013,-5.38,0.69279420935,DEM,10/02/2013,28,-0.37
10/01/2018,-0,0,DEM,10/04/2018,3,-0
