Date,Mass_Change_mwe,Uncertainty,Source,Mass_Minimum_Date,Number_of_Days,Mass_Difference
10/07/1999,-19.33,2.58532346955,DEM,10/07/1999,0,0
09/04/2013,-8.68,0,DEM,10/07/2013,33,-0.52
09/20/2017,-0,0.8617154531,DEM,10/08/2017,18,-0.32
