Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
2017,Z,5/9/2017,9/12/2017,2585,5.6,1.87,0,0
2018,A,5/15/2018,9/18/2018,2381,2.86,-1.25,NaN,0.01
2018,B,5/15/2018,9/18/2018,2317,3.22,-0.98,NaN,0
2018,C,5/15/2018,9/18/2018,2457,2.83,-1.17,NaN,0.05
2018,E,5/15/2018,9/18/2018,2454,2.43,-1.32,NaN,0.01
2018,F,5/15/2018,9/18/2018,2351,2.4,-1.55,NaN,0.05
2018,G,5/15/2018,9/18/2018,2479,2.63,-0.6,NaN,0.03
2018,Z,5/15/2018,9/18/2018,2585,5.94,2.91,NaN,0.02
2019,A,5/14/2019,9/25/2019,2375,2.12,-2.3,NaN,0
2019,C,5/14/2019,9/25/2019,2456,2.23,-1.94,NaN,0
2019,E,5/14/2019,9/25/2019,2452,1.62,-3.2,NaN,0.01
2019,F,5/14/2019,9/25/2019,2344,1.6,-2.43,NaN,0
2019,G,5/14/2019,9/25/2019,2483,2.19,-2.2,NaN,0
2019,Z,5/14/2019,9/25/2019,2578,2.34,0.81,NaN,0.02
2020,A,6/2/2020,9/23/2020,2375,2.56,-1.28,NaN,0
2020,C,6/2/2020,9/23/2020,2456,2.47,-1.53,NaN,0
2020,E,6/2/2020,9/23/2020,2452,1.63,-3.46,NaN,0
2020,F,6/2/2020,9/23/2020,2344,2.78,-1.02,NaN,0
2020,G,6/2/2020,9/23/2020,2483,2.63,-0.03,NaN,0
2020,Z,6/2/2020,9/23/2020,2578,5.1,2.12,NaN,0
