Date,Temperature,Precipitation,Elevation,Latitude,Longitude,Units,Source,Station_ID
2001-08-04,13.2,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-05,13.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-06,17.6,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-07,17.5,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-08,8.299999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-09,11.099999999999998,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-10,14.300000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-11,15.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-12,16.300000000000004,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-13,16.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-14,14.100000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-15,15.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-16,16.6,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-17,17.6,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-18,17.400000000000002,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-19,11.300000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-20,11.2,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-21,11.700000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-22,14.000000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-23,9.9,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-24,8.599999999999998,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
