Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2004,TSL_1067,1067,3.47,-4.84,-1.37,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,C,1084,3.46,-4.77,-1.31,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,H,1150,3.52,-4.45,-0.93,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,D,1193,3.86,-4.22,-0.36,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,G,1205,3.33,-4.28,-0.95,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,TSL_777,777,0.87,-6.22,-5.35,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,TSL_800,800,1.33,-6.05,-4.72,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,TSL_811,811,1.92,-5.91,-3.98,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,TSL_1038,1038,3.29,-4.82,-1.53,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,C,1084,3.64,-4.58,-0.93,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,H,1149,3.68,-4.32,-0.64,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,D,1193,3.77,-4.14,-0.37,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,G,1204,3.22,-4.19,-0.97,19-Apr-2005,09-Oct-2005,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,TSL_802,802,0.74,-4.9,-4.16,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,TSL_875,875,1.53,-4.52,-2.99,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,TSL_891,891,2.33,-4.33,-2,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,TSL_1072,1072,3.16,-3.56,-0.39,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,C,1083,3.35,-3.49,-0.13,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,H,1148,3.61,-3.27,0.34,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,D,1192,3.55,-3.14,0.41,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,G,1203,3.29,-3.11,0.17,11-May-2006,10-Oct-2006,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,TSL_729,729,1.98,-4.93,-2.95,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,TSL_891,891,2.62,-4.31,-1.69,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,TSL_976,976,2.83,-3.99,-1.16,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,TSL_1028,1028,3.13,-3.73,-0.6,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,C,1082,3.71,-3.49,0.22,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,H,1147,3.96,-3.32,0.64,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,D,1191,3.79,-3.2,0.59,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,G,1202,3.29,-3.18,0.11,11-May-2007,01-Oct-2007,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
