Date,Mass_Change_mwe,Uncertainty,Source,Mass_Minimum_Date,Number_of_Days,Mass_Difference
07/05/1948,-49.6,11.815,DEM,09/23/1948,80,-2.11
09/18/1957,-39.9,2.89,DEM,10/19/1957,31,-0.32
08/11/1979,-36.71,3.06,DEM,10/24/1979,74,-1.49
08/28/1989,-32.51,2.635,DEM,10/09/1989,42,-0.92
10/07/1999,-19.89,2.295,DEM,10/07/1999,0,0
09/04/2013,-11.1,1.785,DEM,10/24/2013,50,-0.7
08/28/2016,-5.31,1.105,DEM,10/08/2016,41,-0.85
10/01/2018,-0,0,DEM,10/25/2018,24,-0.15
