Date,Volume_Change_m,Uncertainty,Source
8/13/1948,20.44321,17.93373109,DEM
2/11/2000,-6.095618621,2.530382176,DEM
9/4/2013,-6.330005341,0.815052011,DEM
10/1/2018,0,0,DEM
