Year,Bw_mwe,Bs_mwe,Ba_mwe,Source
1946,NaN,NaN,-0.04,WGMS
1947,NaN,NaN,0.36,WGMS
1948,NaN,NaN,0.51,WGMS
1949,NaN,NaN,0.93,WGMS
1950,NaN,NaN,-0.18,WGMS
1951,NaN,NaN,-0.34,WGMS
1952,NaN,NaN,0.16,WGMS
1953,NaN,NaN,-0.15,WGMS
1954,NaN,NaN,-0.07,WGMS
1955,NaN,NaN,0.97,WGMS
1956,NaN,NaN,-0.13,WGMS
1957,NaN,NaN,-0.04,WGMS
1958,NaN,NaN,0.21,WGMS
1959,NaN,NaN,0.35,WGMS
1960,NaN,NaN,0.16,WGMS
1961,NaN,NaN,0.48,WGMS
1962,NaN,NaN,0.39,WGMS
1963,NaN,NaN,0.57,WGMS
1964,NaN,NaN,1.13,WGMS
1965,NaN,NaN,0.79,WGMS
1966,NaN,NaN,0.08,WGMS
1967,NaN,NaN,0.25,WGMS
1968,NaN,NaN,0.46,WGMS
1969,NaN,NaN,1.17,WGMS
1970,NaN,NaN,0.76,WGMS
1971,NaN,NaN,0.63,WGMS
1972,NaN,NaN,0.42,WGMS
1973,NaN,NaN,0.52,WGMS
1974,NaN,NaN,0.58,WGMS
1975,NaN,NaN,0.85,WGMS
1976,NaN,NaN,0.66,WGMS
1977,NaN,NaN,0.47,WGMS
1978,NaN,NaN,0.31,WGMS
1979,NaN,NaN,0.14,WGMS
1980,NaN,NaN,0.54,WGMS
1981,NaN,NaN,0.12,WGMS
1982,NaN,NaN,0.15,WGMS
1983,NaN,NaN,-0.42,WGMS
1984,NaN,NaN,0.64,WGMS
1985,NaN,NaN,1.4,WGMS
1986,NaN,NaN,1.2,WGMS
1987,NaN,NaN,0.39,WGMS
1988,NaN,NaN,0.6,WGMS
1989,NaN,NaN,-0.81,WGMS
1990,NaN,NaN,-0.45,WGMS
1991,NaN,NaN,0.38,WGMS
1992,NaN,NaN,0.17,WGMS
1993,NaN,NaN,-0.04,WGMS
1994,NaN,NaN,0.09,WGMS
1995,NaN,NaN,-0.76,WGMS
1996,NaN,NaN,-0.96,WGMS
1997,NaN,NaN,-1.34,WGMS
1998,NaN,NaN,-0.98,WGMS
1999,NaN,NaN,0.4,WGMS
2000,NaN,NaN,1.03,WGMS
2001,NaN,NaN,0.88,WGMS
2002,NaN,NaN,0.1,WGMS
2003,NaN,NaN,-0.9,WGMS
2004,NaN,NaN,-0.83,WGMS
2005,NaN,NaN,-0.72,WGMS
2006,NaN,NaN,0.23,WGMS
2007,NaN,NaN,0.48,WGMS
2008,NaN,NaN,0.75,WGMS
2009,NaN,NaN,-0.31,WGMS
2010,NaN,NaN,-0.12,WGMS
2011,NaN,NaN,-0.55,WGMS
2012,NaN,NaN,1.06,WGMS
2013,NaN,NaN,-0.13,WGMS
2014,NaN,NaN,-0.84,WGMS
2015,NaN,NaN,-0.95,WGMS
2016,NaN,NaN,-0.78,WGMS
2017,NaN,NaN,-0.78,WGMS
2018,NaN,NaN,-1.45,WGMS
