Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1984,TKG1,3/1/1984,7/26/1984,1149,NaN,1.70,NaN,0
1984,DG1,3/1/1984,7/25/1984,1016,NaN,1.09,NaN,0
1984,SWB1,3/1/1984,7/18/1984,1240,NaN,2.54,NaN,0
1984,SWB2,3/1/1984,7/21/1984,1064,NaN,1.49,NaN,0
1984,NWB3,3/1/1984,7/24/1984,1411,NaN,2.06,NaN,0
1984,C161,3/1/1984,7/24/1984,1439,NaN,2.67,NaN,0
1984,MG1,3/1/1984,8/2/1984,1352,NaN,1.67,NaN,0
1984,MG5,3/1/1984,8/6/1984,1850,NaN,3.99,NaN,0
1984,MG2,3/1/1984,8/4/1984,1808,NaN,3.37,NaN,0
1984,MG6,3/1/1984,8/20/1984,1830,NaN,3.35,NaN,0
1985,TKG4,3/1/1985,7/18/1985,1116,NaN,2.98,NaN,0
1985,TKG5,3/1/1985,7/20/1985,998,NaN,2.23,NaN,0
1985,TKG1,3/1/1985,7/21/1985,1149,NaN,2.97,NaN,0
1985,MG1,3/1/1985,7/27/1985,1352,NaN,2.48,NaN,0
1987,TKG3,3/1/1987,7/27/1987,1206,NaN,1.93,NaN,0
1987,TKG4,3/1/1987,7/25/1987,1116,NaN,1.86,NaN,0
1987,TKG4A,3/1/1987,NaT,1110,NaN,1.57,NaN,0
1987,TKG8,3/1/1987,7/27/1987,1283,NaN,1.76,NaN,0
1987,MG1,3/1/1987,7/20/1987,1352,NaN,1.71,NaN,0
1987,MG2,3/1/1987,8/1/1987,1768,NaN,3.15,NaN,0
1987,MG6,3/1/1987,8/10/1987,1871,NaN,2.83,NaN,0
1988,TKG5,3/1/1988,8/2/1988,998,NaN,1.71,NaN,0
1988,TKG4,3/1/1988,7/30/1988,1110,NaN,2.01,NaN,0
1988,TKG4A,3/1/1988,8/1/1988,1110,NaN,2.05,NaN,0
1988,SWB1,3/1/1988,8/4/1988,1262,NaN,2.62,NaN,0
1988,MG1,3/1/1988,8/9/1988,1352,NaN,2.61,NaN,0
1989,TKG5,3/1/1989,8/2/1989,998,NaN,0.60,NaN,0
1989,TKG3,3/1/1989,8/6/1989,1206,NaN,0.53,NaN,0
1989,TKG4,3/1/1989,8/1/1989,1110,NaN,0.72,NaN,0
1989,TKG4A,3/1/1989,8/1/1989,1110,NaN,0.62,NaN,0
1989,TKG7,3/1/1989,8/10/1989,1341,NaN,0.80,NaN,0
1989,SWB1,3/1/1989,8/5/1989,1262,NaN,1.46,NaN,0
1989,SWB2,3/1/1989,8/11/1989,1080,NaN,0.50,NaN,0
1989,MG1,3/1/1989,8/13/1989,1352,NaN,0.29,NaN,0
1989,MG6,3/1/1989,8/14/1989,1871,NaN,1.41,NaN,0
1990,TKG6,3/1/1990,7/27/1990,1225,NaN,1.10,NaN,0
1990,TKG4,3/1/1990,8/1/1990,1116,NaN,1.02,NaN,0
1990,TKG8,3/1/1990,7/29/1990,1288,NaN,1.00,NaN,0
1990,NWB3,3/1/1990,7/25/1990,1380,NaN,1.40,NaN,0
1990,TKG3,3/1/1990,7/27/1990,1205,NaN,1.10,NaN,0
