Date,Mass_Change_mwe,Uncertainty,Source,Mass_Minimum_Date,Number_of_Days,Mass_Difference
09/02/2005,-0.9,1.5895,DEM,09/30/2005,28,-0.28
09/07/2014,-0,0,DEM,10/21/2014,44,-0.59
