Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2010,G,2486,2.8,-3.04,-0.24,04-Jun-2010,10-Oct-2010,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,D,2549,3.69,-2.68,1.01,04-Jun-2010,10-Oct-2010,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,B,2324,4.1,-3.77,0.34,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,F,2352,3.68,-3.56,0.11,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,A,2380,4.01,-4.02,-0.01,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,E,2461,3.49,-3.51,-0.02,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,C,2464,4.54,-3.76,0.78,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,G,2486,4.41,-3.5,0.92,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,D,2549,6.02,-3.13,2.89,03-Jun-2011,04-Oct-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,B,2323,3.36,-3.97,-0.61,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,F,2358,4.04,-3.99,0.05,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,A,2377,3.36,-4.27,-0.91,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,E,2450,2.83,-4.17,-1.35,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,C,2454,4.05,-3.94,0.11,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,G,2480,4.17,-3.53,0.64,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,D,2547,5.17,-3.12,2.05,06-May-2012,02-Oct-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,B,2328,3.56,-5.19,-1.64,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,F,2348,3.63,-4.89,-1.26,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,A,2382,3.44,-5.36,-1.92,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,E,2458,3.05,-5.32,-2.27,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
