site_name,ks,ki,Rsquared_ks,Rsquared_ki,RMSE_ks,RMSE_ki
C161,-0.00197373632181251,NaN,NaN,NaN,0,NaN
MG1,-0.00227942309059007,NaN,-0.624310131919746,NaN,0.126438278007353,NaN
MG2,-0.0015743319745915,NaN,-0.912870929175277,NaN,0.0495478077497484,NaN
TKA1,NaN,-0.00396786155747837,NaN,NaN,NaN,0
TKA2,NaN,-0.00220334994759022,NaN,NaN,NaN,0
TKG3,-0.00190567004154292,NaN,-1,NaN,0.024110229201918,NaN
TKG4,-0.00230415808095645,NaN,-0.859562515868641,NaN,0.0670654431130761,NaN
TKG5,-0.00227262380742798,NaN,-0.545544725589981,NaN,0.0444295431971768,NaN
All_Sites,-0.00231733909572379,-0.00539337907228243,-0.68906769327984,-0.862572228479516,0.0771281277149925,0.469166548487513
