Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source
1993,0.85,-1.15055120493704,-0.300551204937044,1889.75543478261,03/25/1993,09/01/1993,1.39        0.46,NaN,6.6        12.03,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1994,1.67,-0.842730869703141,0.827269130296859,1752.02,04/18/1994,09/10/1994,2.58        2.88,NaN,10.61          9.8,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1995,1.19,-0.983368473884223,0.206631526115777,1819.34437086093,03/28/1995,10/07/1995,1.13        2.66,NaN,9.97        9.81,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1996,1.41,-0.664786714058033,0.745213285941967,1779.03947368421,05/27/1996,08/24/1996,0.83        4.81,NaN,7.51        9.87,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1997,1.34,-2.04441762151538,-0.704417621515379,1911.72670807453,05/18/1997,09/27/1997,2.41        3.74,NaN,10.06        10.39,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1998,1.19,-0.424415879855096,0.765584120144904,1748.50995236688,05/22/1998,08/05/1998,0.95        2.82,NaN,7.09        7.76,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1999,1.32,-1.5147124873093,-0.194712487309302,1858.11731799382,05/31/1999,08/24/1999,5.92        3.08,NaN,11.96         7.82,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2000,1.81,-0.547089876181832,1.26291012381817,1677.64188193467,05/24/2000,08/17/2000,2.16        3.46,NaN,7.84        7.63,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2001,1.83,-1.56734410998367,0.262655890016327,1810.53207257879,05/27/2001,09/03/2001,3.05        3.12,NaN,14.32         8.34,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2002,1.06,-0.375393920354501,0.684606079645499,1766.25573096738,05/16/2002,08/05/2002,2.85        2.39,NaN,10.43         8.79,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2003,2.25,-0.457177982063824,1.79282201793618,1685.27349050195,05/26/2003,08/16/2003,4.9        4.78,NaN,16.27        11.29,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2004,1.14,-2.32852529286905,-1.18852529286905,1939.03004183984,04/28/2004,09/01/2004,1.53        3.56,NaN,4.55        12.98,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2005,2.02,-1.29451683250538,0.725483167494619,1800.48187660336,02/15/2005,08/20/2005,-0.81        3.46,NaN,4.09        12.56,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2006,1.78,-0.810609175097309,0.969390824902691,1740.72562262323,05/17/2006,08/14/2006,2        4.51,NaN,8.39        9.09,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2007,1.76,-1.43579394010086,0.324206059899141,1829.83330890562,05/13/2007,09/12/2007,4.74         4.9,NaN,10.49         15.1,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2008,1.25,0.606628754336647,1.85662875433665,1678.07263906079,06/01/2008,07/16/2008,0.58        2.97,NaN,-0.36        9.91,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2009,1.16,-1.30324801859609,-0.143248018596085,1845.35167074434,04/26/2009,09/16/2009,5.24        2.76,NaN,13.04          9.8,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2010,0.58,-1.64053055907966,-1.06053055907966,1967.88761198499,04/30/2010,09/22/2010,1.26        0.68,NaN,10.08         8.02,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2011,0.62,-1.66670347333696,-1.04670347333696,1981.40623187793,05/13/2011,09/21/2011,1.01        0.55,NaN,8.51        5.79,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2012,0.97,-0.83245962479747,0.13754037520253,1836.34757099734,05/31/2012,08/23/2012,2.67        1.84,NaN,7.76        8.19,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2013,1.57,-2.27734840748775,-0.707348407487745,1922.95561937918,05/23/2013,08/18/2013,3.38        2.44,NaN,9.89        5.57,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2014,1.32,-0.884097913878528,0.435902086121472,1730.71747966176,04/25/2014,08/24/2014,3.69        2.11,NaN,8.96        4.83,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2015,0.95,-1.69058180716148,-0.740581807161478,1959.62131044346,05/09/2015,08/25/2015,2.35        1.75,NaN,8.23        5.09,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2016,1.34,-2.1413473816348,-0.801347381634802,1957.23025816403,05/09/2016,09/04/2016,2.42        1.07,NaN,8.31        4.75,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2017,0.7,-2.01874985474148,-1.31874985474148,2176.64292628348,05/29/2017,09/09/2017,2.44        0.05,NaN,9.68        1.97,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2018,1.3,-1.09145214327007,0.208547856729933,1791.76738527711,05/29/2018,08/12/2018,2.32        0.69,NaN,6.72        3.91,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
