Date,dh_m,Uncertainty,Source
7/5/1948,-58.35,13.9,DEM
9/18/1957,-46.94,3.4,DEM
8/11/1979,-43.18,3.6,DEM
8/28/1989,-38.24,3.1,DEM
2/11/2000,-23.4,2.7,DEM
9/4/2013,-13.06,2.1,DEM
8/28/2016,-6.24,1.3,DEM
10/1/2018,0,0,DEM
