Year,Site_Name,Date1,Date2,Elevation_m,Surface1,Surface2,db_mwe
2014,D,7/1/2014,7/7/2014,1191,snow,snow,-0.22
2014,D,7/1/2014,7/9/2014,1191,snow,snow,-0.32
2014,D,7/1/2014,7/10/2014,1191,snow,snow,-0.39
2014,D,7/1/2014,9/17/2014,1191,snow,firn,-2.7
2014,D,7/2/2014,9/17/2014,1191,snow,firn,-2.66
2014,D,7/5/2014,9/17/2014,1191,snow,firn,-2.56
2014,D,7/6/2014,9/17/2014,1191,snow,firn,-2.5
2014,D,7/7/2014,9/17/2014,1191,snow,firn,-2.48
2014,D,7/9/2014,9/17/2014,1191,snow,firn,-2.31
2014,B,7/10/2014,9/17/2014,1022,snow,ice,-2.72
2015,A,9/17/2014,7/6/2015,833,ice,ice,-1.79
2015,B,9/17/2014,7/6/2015,998,ice,ice,-0.83
2016,A,7/4/2016,7/7/2016,835,ice,ice,-0.15
2016,A,7/4/2016,9/11/2016,835,ice,ice,-3.35
2016,A,6/22/2016,9/11/2016,835,ice,ice,-3.97
2016,A,7/7/2016,9/11/2016,835,ice,ice,-3.2
2016,B,7/4/2016,7/7/2016,955,snow,snow,-0.12
2016,B,7/3/2016,7/4/2016,955,snow,snow,-0.02
2016,C,7/3/2016,7/7/2016,1073,snow,snow,-0.09
2016,C,7/3/2016,7/10/2016,1073,snow,snow,-0.19
2016,C,7/4/2016,7/7/2016,1073,snow,snow,-0.07
2016,C,7/4/2016,7/10/2016,1073,snow,snow,-0.17
2016,C,7/7/2016,7/10/2016,1073,snow,snow,-0.1
2016,D,6/14/2016,7/3/2016,1185,snow,snow,-0.59
2016,D,6/14/2016,7/4/2016,1185,snow,snow,-0.64
2016,D,6/14/2016,7/7/2016,1185,snow,snow,-0.66
2016,D,6/14/2016,7/9/2016,1185,snow,snow,-0.77
2016,D,7/3/2016,7/4/2016,1185,snow,snow,-0.04
2016,D,7/3/2016,7/7/2016,1185,snow,snow,-0.07
2016,D,7/3/2016,7/9/2016,1185,snow,snow,-0.18
2016,D,7/4/2016,7/7/2016,1185,snow,snow,-0.02
2016,D,7/4/2016,7/9/2016,1185,snow,snow,-0.13
2016,D,7/7/2016,7/9/2016,1185,snow,snow,-0.11
2016,E,7/8/2016,7/9/2016,1245,snow,snow,-0.05
2016,E,7/8/2016,9/10/2016,1245,snow,snow,-2.17
2016,E,7/9/2016,9/10/2016,1245,snow,snow,-2.12
2017,A,4/8/2017,6/20/2017,835,snow,snow,-1.17
2017,A,4/8/2017,7/6/2017,835,snow,ice,-1.71
2017,A,6/20/2017,7/6/2017,835,snow,ice,-0.54
2017,A,6/20/2017,10/7/2017,835,snow,ice,-4.25
2017,A,7/6/2017,10/7/2017,835,ice,ice,-3.71
2017,B,4/9/2017,6/20/2017,954,snow,snow,-0.4
2017,B,4/9/2017,7/6/2017,954,snow,snow,-1.44
2017,B,6/20/2017,7/6/2017,954,snow,snow,-1.05
2017,B,6/20/2017,10/7/2017,954,snow,ice,-4.46
2017,B,7/6/2017,10/7/2017,954,snow,ice,-3.41
2017,C,4/9/2017,6/20/2017,1073,snow,snow,-0.58
2017,C,4/9/2017,7/6/2017,1073,snow,snow,-0.94
2017,C,4/9/2017,9/24/2017,1073,snow,ice,-3.45
2017,C,6/20/2017,7/6/2017,1073,snow,snow,-0.36
2017,C,6/20/2017,9/24/2017,1073,snow,ice,-2.87
2017,C,6/20/2017,10/7/2017,1073,snow,ice,-3.05
2017,C,7/6/2017,9/24/2017,1073,snow,ice,-2.51
2017,C,7/6/2017,10/7/2017,1073,snow,ice,-2.69
2017,C,9/24/2017,10/7/2017,1073,ice,ice,-0.18
2017,D,4/7/2017,6/18/2017,1185,snow,snow,-0.24
2017,D,4/7/2017,7/1/2017,1185,snow,snow,-0.62
2017,D,4/7/2017,7/6/2017,1185,snow,snow,-0.75
2017,D,6/18/2017,7/1/2017,1185,snow,snow,-0.37
2017,D,6/18/2017,7/6/2017,1185,snow,snow,-0.51
2017,D,6/18/2017,10/7/2017,1185,snow,ice,-3.12
2017,D,7/1/2017,7/6/2017,1185,snow,snow,-0.13
2017,D,7/1/2017,10/7/2017,1185,snow,ice,-2.75
2017,D,7/6/2017,10/7/2017,1185,snow,ice,-2.62
2017,E,4/10/2017,6/18/2017,1245,snow,snow,-0.04
2017,E,4/10/2017,7/7/2017,1245,snow,snow,-0.63
2017,E,6/18/2017,7/7/2017,1245,snow,snow,-0.59
2017,E,6/18/2017,10/7/2017,1245,snow,ice,-2.92
2017,E,7/7/2017,10/7/2017,1245,snow,ice,-2.33
2017,F,4/10/2017,6/18/2017,1236,snow,snow,-0.29
2017,F,4/10/2017,7/7/2017,1236,snow,snow,-0.87
2017,F,6/18/2017,7/7/2017,1236,snow,snow,-0.58
2017,F,6/18/2017,10/8/2017,1236,snow,ice,-3.47
2017,F,7/7/2017,10/8/2017,1236,snow,ice,-2.89
2018,A,5/7/2018,7/5/2018,835,snow,ice,-2.09
2018,B,5/7/2018,7/5/2018,954,snow,ice,-1.63
2018,C,5/8/2018,7/5/2018,1073,snow,snow,-1.18
2018,D,5/6/2018,7/5/2018,1185,snow,snow,-1.04
2018,E,5/6/2018,7/4/2018,1245,snow,snow,-0.48
2018,F,5/6/2018,7/4/2018,1236,snow,snow,-0.97
