1989,0,0.005873,0.033575,0.1082,0.89647,1.2237,2.0828,3.1746,3.3235,0.74988,0.070646,0
1990,0,0.0056282,0.032362,0.11373,0.90138,1.2116,2.0921,3.1887,3.2567,0.74076,0.070076,0
1991,0,0.0053835,0.03115,0.11926,0.90628,1.1995,2.1015,3.2029,3.1899,0.73163,0.069507,0
1992,0,0.0051388,0.029937,0.12478,0.91118,1.1874,2.1108,3.217,3.123,0.7225,0.068937,0
1993,0,0.0048941,0.028725,0.13031,0.91609,1.1753,2.1202,3.2312,3.0562,0.71337,0.068368,0
1994,0,0.0046494,0.027512,0.13584,0.92099,1.1632,2.1296,3.2454,2.9894,0.70424,0.067798,0
1995,0,0.0044047,0.0263,0.14137,0.92589,1.1511,2.1389,3.2595,2.9225,0.69511,0.067228,0
1996,0,0.00416,0.025087,0.1469,0.9308,1.139,2.1483,3.2737,2.8557,0.68598,0.066659,0
1997,0,0.0039153,0.023875,0.15243,0.9357,1.1269,2.1577,3.2878,2.7889,0.67686,0.066089,0
1998,0,0.0036706,0.022662,0.15796,0.9406,1.1148,2.167,3.302,2.7221,0.66773,0.065519,0
1999,0,0.0034259,0.02145,0.16349,0.94551,1.1028,2.1764,3.3162,2.6552,0.6586,0.06495,0
2000,0,0.0031812,0.020237,0.16902,0.95041,1.0907,2.1857,3.3303,2.5884,0.64947,0.06438,0
2001,0,0.0029365,0.019025,0.17455,0.95531,1.0786,2.1951,3.3445,2.5216,0.64034,0.063811,0
2002,0,0.0026918,0.017812,0.18008,0.96021,1.0665,2.2045,3.3586,2.4548,0.63121,0.063241,0
2003,0,0.0024471,0.0166,0.18561,0.96512,1.0544,2.2138,3.3728,2.3879,0.62208,0.062671,0
2004,0,0.0022024,0.015387,0.19114,0.97002,1.0423,2.2232,3.387,2.3211,0.61296,0.062102,0
2005,0,0.0019577,0.014175,0.19667,0.97492,1.0302,2.2325,3.4011,2.2543,0.60383,0.061532,0
2006,0,0.0017129,0.012962,0.20219,0.97983,1.0181,2.2419,3.4153,2.1875,0.5947,0.060962,0
2007,0,0.0014682,0.01175,0.20772,0.98473,1.006,2.2513,3.4294,2.1206,0.58557,0.060393,0
2008,0,0.0012235,0.010537,0.21325,0.98963,0.99393,2.2606,3.4436,2.0538,0.57644,0.059823,0
2009,0,0.00097883,0.009325,0.21878,0.99454,0.98184,2.27,3.4578,1.987,0.56731,0.059254,0
2010,0,0.00073412,0.0081125,0.22431,0.99944,0.96975,2.2793,3.4719,1.9202,0.55819,0.058684,0
2011,0,0.00048941,0.0069,0.22984,1.0043,0.95766,2.2887,3.4861,1.8533,0.54906,0.058114,0
2012,0,0.00024471,0.0056875,0.23537,1.0092,0.94557,2.2981,3.5002,1.7865,0.53993,0.057545,0
2013,0,0,0.004475,0.2409,1.0141,0.93347,2.3074,3.5144,1.7197,0.5308,0.056975,0
2014,0,0,0.0032625,0.24643,1.0191,0.92138,2.3168,3.5286,1.6528,0.52167,0.056405,0
2015,0,0,0.00205,0.25196,1.024,0.90929,2.3261,3.5427,1.586,0.51254,0.055836,0
2016,0,0,0.0008375,0.25749,1.0289,0.8972,2.3355,3.5569,1.5192,0.50341,0.055266,0
2017,0,0,0,0.26302,1.0338,0.88511,2.3449,3.571,1.4524,0.49429,0.054696,0
2018,0,0,0,0.26855,1.0387,0.87302,2.3542,3.5852,1.3855,0.48516,0.054127,0
2019,0,0,0,0.27408,1.0436,0.86093,2.3636,3.5994,1.3187,0.47603,0.053557,0
2020,0,0,0,0.27961,1.0485,0.84883,2.373,3.6135,1.2519,0.4669,0.052988,0
